time,bpm
2022-04-23 00:00:16.669814+00:00,55
2022-04-23 00:00:45.373937+00:00,54
2022-04-23 00:01:16.693372+00:00,55
2022-04-23 00:01:35.639491+00:00,53
2022-04-23 00:02:04.394005+00:00,52
2022-04-23 00:02:34.407864+00:00,51
2022-04-23 00:03:03.795248+00:00,53
2022-04-23 00:03:21.435723+00:00,52
2022-04-23 00:03:52.758827+00:00,76
2022-04-23 00:04:20.793415+00:00,49
2022-04-23 00:04:48.241767+00:00,54
2022-04-23 00:05:15.653641+00:00,50
2022-04-23 00:05:33.334266+00:00,54
2022-04-23 00:06:03.344365+00:00,48
2022-04-23 00:06:30.754665+00:00,52
2022-04-23 00:07:00.861001+00:00,55
2022-04-23 00:07:18.541860+00:00,53
2022-04-23 00:07:46.625294+00:00,52
2022-04-23 00:08:16.637799+00:00,55
2022-04-23 00:08:44.711787+00:00,53
2022-04-23 00:09:13.473066+00:00,50
2022-04-23 00:09:32.419037+00:00,53
2022-04-23 00:10:03.740793+00:00,55
2022-04-23 00:11:22.760264+00:00,53
2022-04-23 00:11:52.774028+00:00,76
2022-04-23 00:12:21.532021+00:00,53
2022-04-23 00:12:51.544811+00:00,55
2022-04-23 00:13:20.255469+00:00,76
2022-04-23 00:14:23.527458+00:00,55
2022-04-23 00:14:53.539272+00:00,76
2022-04-23 00:15:19.732549+00:00,55
2022-04-23 00:15:47.812637+00:00,57
2022-04-23 00:16:16.576772+00:00,52
2022-04-23 00:16:46.587055+00:00,55
2022-04-23 00:17:14.615122+00:00,54
2022-04-23 00:17:32.348343+00:00,56
2022-04-23 00:18:29.813704+00:00,55
2022-04-23 00:19:00.457972+00:00,54
2022-04-23 00:19:48.787428+00:00,55
2022-04-23 00:20:17.494743+00:00,57
2022-04-23 00:20:45.575601+00:00,54
2022-04-23 00:21:15.601878+00:00,76
2022-04-23 00:21:34.540171+00:00,54
2022-04-23 00:22:32.586649+00:00,55
2022-04-23 00:23:01.482712+00:00,52
2022-04-23 00:23:20.424235+00:00,50
2022-04-23 00:23:49.766802+00:00,52
2022-04-23 00:24:18.521430+00:00,53
2022-04-23 00:24:51.776873+00:00,76
2022-04-23 00:25:16.573819+00:00,53
2022-04-23 00:25:48.572143+00:00,55
2022-04-23 00:27:18.611271+00:00,48
2022-04-23 00:27:39.537761+00:00,55
2022-04-23 00:28:37.588468+00:00,54
2022-04-23 00:29:05.668229+00:00,52
2022-04-23 00:29:24.658813+00:00,49
2022-04-23 00:29:53.367212+00:00,53
2022-04-23 00:30:24.687718+00:00,55
2022-04-23 00:30:54.706017+00:00,76
2022-04-23 00:31:17.608947+00:00,52
2022-04-23 00:31:45.732552+00:00,53
2022-04-23 00:32:15.750159+00:00,48
2022-04-23 00:32:45.811491+00:00,55
2022-04-23 00:33:14.520549+00:00,53
2022-04-23 00:34:01.542963+00:00,52
2022-04-23 00:34:29.586849+00:00,54
2022-04-23 00:34:57.664864+00:00,52
2022-04-23 00:35:16.649172+00:00,54
2022-04-23 00:36:14.833017+00:00,55
2022-04-23 00:36:43.544858+00:00,52
2022-04-23 00:37:11.630601+00:00,53
2022-04-23 00:38:00.765727+00:00,55
2022-04-23 00:38:29.478205+00:00,49
2022-04-23 00:38:59.537401+00:00,55
2022-04-23 00:39:19.791258+00:00,48
2022-04-23 00:40:21.750132+00:00,55
2022-04-23 00:40:51.771546+00:00,75
2022-04-23 00:41:19.170625+00:00,48
2022-04-23 00:42:16.597007+00:00,61
2022-04-23 00:42:44.676682+00:00,68
2022-04-23 00:43:13.383017+00:00,64
2022-04-23 00:43:31.701445+00:00,55
2022-04-23 00:43:59.783314+00:00,61
2022-04-23 00:44:29.845355+00:00,76
2022-04-23 00:45:00.487610+00:00,64
2022-04-23 00:45:18.806769+00:00,70
2022-04-23 00:45:48.826930+00:00,76
2022-04-23 00:46:16.265153+00:00,54
2022-04-23 00:46:45.608246+00:00,55
2022-04-23 00:47:33.308169+00:00,70
2022-04-23 00:48:02.693491+00:00,48
2022-04-23 00:48:32.704022+00:00,76
2022-04-23 00:49:22.342181+00:00,71
2022-04-23 00:49:51.727306+00:00,52
2022-04-23 00:50:23.679876+00:00,71
2022-04-23 00:50:52.431934+00:00,55
2022-04-23 00:51:46.616892+00:00,64
2022-04-23 00:52:46.656922+00:00,76
2022-04-23 00:53:15.355440+00:00,55
2022-04-23 00:54:03.686972+00:00,61
2022-04-23 00:54:31.756947+00:00,67
2022-04-23 00:54:59.216939+00:00,70
2022-04-23 00:55:17.532573+00:00,67
2022-04-23 00:55:45.569950+00:00,64
2022-04-23 00:56:13.683928+00:00,68
2022-04-23 00:56:42.403953+00:00,74
2022-04-23 00:57:08.549060+00:00,79
2022-04-23 00:58:16.508049+00:00,67
2022-04-23 00:58:46.605929+00:00,55
2022-04-23 00:59:14.680553+00:00,68
2022-04-23 00:59:32.326671+00:00,64
2022-04-23 01:00:01.666716+00:00,76
2022-04-23 01:00:30.376540+00:00,60
2022-04-23 01:01:01.699975+00:00,48
2022-04-23 01:01:54.572918+00:00,76
2022-04-23 01:03:20.663695+00:00,55
2022-04-23 01:03:51.303498+00:00,64
2022-04-23 01:04:21.320085+00:00,76
2022-04-23 01:04:51.333370+00:00,55
2022-04-23 01:05:50.695377+00:00,71
2022-04-23 01:06:20.704991+00:00,55
2022-04-23 01:06:50.721256+00:00,76
2022-04-23 01:07:18.808855+00:00,55
2022-04-23 01:07:48.813622+00:00,50
2022-04-23 01:08:21.432827+00:00,76
2022-04-23 01:08:52.764835+00:00,55
2022-04-23 01:09:21.472892+00:00,76
2022-04-23 01:10:21.594060+00:00,47
2022-04-23 01:10:51.601498+00:00,76
2022-04-23 01:11:17.708158+00:00,64
2022-04-23 01:11:47.725328+00:00,48
2022-04-23 01:12:16.431534+00:00,55
2022-04-23 01:12:47.756625+00:00,71
2022-04-23 01:13:16.465402+00:00,47
2022-04-23 01:13:35.454982+00:00,45
2022-04-23 01:14:05.520766+00:00,48
2022-04-23 01:14:37.512962+00:00,76
2022-04-23 01:15:06.851170+00:00,53
2022-04-23 01:15:25.844582+00:00,55
2022-04-23 01:15:54.552609+00:00,52
2022-04-23 01:16:23.261900+00:00,55
2022-04-23 01:16:54.675555+00:00,76
2022-04-23 01:17:16.315262+00:00,52
2022-04-23 01:17:46.335404+00:00,76
2022-04-23 01:18:43.751844+00:00,53
2022-04-23 01:19:12.460999+00:00,52
2022-04-23 01:19:32.760667+00:00,55
2022-04-23 01:20:01.473285+00:00,50
2022-04-23 01:20:32.788960+00:00,55
2022-04-23 01:21:02.801521+00:00,51
2022-04-23 01:21:21.749100+00:00,76
2022-04-23 01:22:25.693661+00:00,45
2022-04-23 01:22:55.710453+00:00,75
2022-04-23 01:23:16.631428+00:00,48
2022-04-23 01:23:45.342512+00:00,55
2022-04-23 01:24:46.689422+00:00,64
